,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
37277,Noida,3.87,11000.0,3525,4.0
37279,Lucknow,49.0,4000.0,1225,2.0
37280,Ghaziabad,57.25,5000.0,1145,2.0
37281,Ghaziabad,2.06,8300.0,2485,3.0
37282,Greater Noida,53.12,4660.0,1140,2.0
37283,Greater Noida,47.31,3850.0,1229,2.0
37284,Greater Noida,78.75,4716.0,1670,3.0
37286,Greater Noida,71.89,4424.0,1625,3.0
37287,Ghaziabad,17.03,4518.0,377,1.0
37288,Ghaziabad,28.8,2400.0,1200,2.0
37289,Ghaziabad,98.0,4900.0,2000,3.0
37291,Greater Noida,51.89,4850.0,1070,2.0
37292,Greater Noida,78.72,4700.0,1675,3.0
37293,Greater Noida,67.7,4299.0,1575,3.0
37294,Greater Noida,76.21,5293.0,1440,3.0
37296,Greater Noida,37.39,3800.0,984,2.0
37297,Noida,3.87,11000.0,3525,4.0
37299,Lucknow,49.0,4000.0,1225,2.0
37300,Ghaziabad,57.25,5000.0,1145,2.0
37301,Ghaziabad,2.06,8300.0,2485,3.0
37302,Greater Noida,53.12,4660.0,1140,2.0
